"","stroke","stage","emmean","lower.HPD","upper.HPD"
"1","2","During",0.149430401848728,0.0829930111451407,0.241859165304078
"2","4","During",0.257705068521198,0.154496837871569,0.377275441138904
"3","control","During",0.266316366338236,0.160614610596403,0.380783895578387
"4","2","Post",0.177015848635213,0.0898756070567863,0.280264018877097
"5","4","Post",0.320580176964916,0.195322086261638,0.456351808056757
"6","control","Post",0.312971477918096,0.202334623646837,0.440639488030678
"7","2","Pre",0.253266613115733,0.128131098528112,0.393586791315454
"8","4","Pre",0.342345274876472,0.226026320150332,0.482889502635524
"9","control","Pre",0.299054440375478,0.184923837657096,0.425742486282273
